L,O,1
1507.4,-8.76,-49.54
1507.41,-8.77,-49.62
1507.42,-8.77,-49.61
1507.43,-8.78,-49.61
1507.44,-8.8,-49.5
1507.45,-8.82,-49.54
1507.46,-8.82,-49.65
1507.47,-8.82,-49.54
1507.48,-8.84,-49.73
1507.49,-8.88,-49.65
1507.5,-8.9,-49.48
1507.51,-8.91,-49.57
1507.52,-8.93,-49.51
1507.53,-8.95,-49.47
1507.54,-8.97,-49.38
1507.55,-9.02,-49.46
1507.56,-9.05,-49.5
1507.57,-9.08,-49.5
1507.58,-9.11,-49.37
1507.59,-9.17,-49.32
1507.6,-9.21,-49.34
1507.61,-9.26,-49.15
1507.62,-9.3,-49.15
1507.63,-9.34,-49.05
1507.64,-9.39,-49.0
1507.65,-9.46,-49.02
1507.66,-9.53,-48.98
1507.67,-9.58,-48.78
1507.68,-9.58,-48.76
1507.69,-9.59,-48.62
1507.7,-9.66,-48.69
1507.71,-9.7,-48.71
1507.72,-9.77,-48.64
1507.73,-9.74,-48.43
1507.74,-9.72,-48.51
1507.75,-9.71,-48.5
1507.76,-9.72,-48.56
1507.77,-9.73,-48.42
1507.78,-9.74,-48.53
1507.79,-9.7,-48.45
1507.8,-9.67,-48.27
1507.81,-9.64,-48.6
1507.82,-9.64,-48.42
1507.83,-9.67,-48.58
1507.84,-9.63,-48.41
1507.85,-9.56,-48.54
1507.86,-9.52,-48.46
1507.87,-9.49,-48.62
1507.88,-9.49,-48.56
1507.89,-9.47,-48.58
1507.9,-9.43,-48.93
1507.91,-9.36,-48.65
1507.92,-9.33,-48.8
1507.93,-9.31,-48.77
1507.94,-9.3,-48.78
1507.95,-9.26,-48.98
1507.96,-9.22,-48.84
1507.97,-9.17,-49.12
1507.98,-9.12,-49.06
1507.99,-9.1,-48.97
1508.0,-9.1,-49.11
1508.01,-9.08,-49.16
1508.02,-9.03,-49.19
1508.03,-9.0,-49.16
1508.04,-8.96,-49.4
1508.05,-8.96,-49.19
1508.06,-8.93,-49.38
1508.07,-8.91,-49.36
1508.08,-8.88,-49.37
1508.09,-8.86,-49.32
1508.1,-8.83,-49.46
1508.11,-8.82,-49.64
1508.12,-8.82,-49.48
1508.13,-8.81,-49.44
1508.14,-8.77,-49.46
1508.15,-8.77,-49.59
1508.16,-8.76,-49.53
1508.17,-8.76,-49.6
1508.18,-8.76,-49.6
1508.19,-8.76,-49.63
1508.2,-8.74,-49.64
1508.21,-8.74,-49.69
1508.22,-8.74,-49.64
1508.23,-8.75,-49.69
1508.24,-8.76,-49.47
1508.25,-8.77,-49.73
1508.26,-8.76,-49.68
1508.27,-8.79,-49.66
1508.28,-8.82,-49.56
1508.29,-8.82,-49.61
1508.3,-8.84,-49.7
1508.31,-8.86,-49.45
1508.32,-8.88,-49.55
1508.33,-8.92,-49.67
1508.34,-8.97,-49.56
1508.35,-8.98,-49.47
1508.36,-9.02,-49.47
1508.37,-9.04,-49.54
1508.38,-9.08,-49.39
1508.39,-9.14,-49.37
1508.4,-9.2,-49.3
1508.41,-9.25,-49.3
1508.42,-9.29,-49.23
1508.43,-9.32,-49.11
1508.44,-9.39,-49.17
1508.45,-9.44,-48.91
1508.46,-9.46,-48.98
1508.47,-9.5,-48.93
1508.48,-9.53,-48.99
1508.49,-9.57,-48.92
1508.5,-9.63,-48.78
1508.51,-9.68,-48.69
1508.52,-9.72,-48.64
1508.53,-9.72,-48.63
1508.54,-9.72,-48.68
1508.55,-9.72,-48.56
1508.56,-9.75,-48.71
1508.57,-9.77,-48.57
1508.58,-9.73,-48.53
1508.59,-9.72,-48.72
1508.6,-9.67,-48.58
1508.61,-9.68,-48.57
1508.62,-9.72,-48.58
1508.63,-9.7,-48.51
1508.64,-9.66,-48.61
1508.65,-9.61,-48.67
1508.66,-9.58,-48.61
1508.67,-9.57,-48.62
1508.68,-9.55,-48.61
1508.69,-9.51,-48.76
1508.7,-9.43,-48.73
1508.71,-9.38,-48.72
1508.72,-9.37,-48.9
1508.73,-9.37,-48.77
1508.74,-9.33,-48.69
1508.75,-9.28,-48.88
1508.76,-9.24,-49.11
1508.77,-9.18,-49.01
1508.78,-9.16,-49.04
1508.79,-9.14,-48.92
1508.8,-9.09,-49.04
1508.81,-9.07,-48.98
1508.82,-9.04,-49.16
1508.83,-9.0,-49.2
1508.84,-8.97,-49.34
1508.85,-8.96,-49.35
1508.86,-8.93,-49.37
1508.87,-8.89,-49.36
1508.88,-8.88,-49.44
1508.89,-8.86,-49.39
1508.9,-8.87,-49.35
1508.91,-8.85,-49.48
1508.92,-8.82,-49.56
1508.93,-8.79,-49.46
1508.94,-8.77,-49.57
1508.95,-8.77,-49.63
1508.96,-8.77,-49.67
1508.97,-8.77,-49.54
1508.98,-8.76,-49.74
1508.99,-8.76,-49.73
1509.0,-8.76,-49.6
1509.01,-8.78,-49.64
1509.02,-8.76,-49.71
1509.03,-8.77,-49.73
1509.04,-8.77,-49.74
1509.05,-8.76,-49.66
1509.06,-8.8,-49.74
